",""IMDB_ID"",""MOVIELENS_ID"",""TITLE"",""GENRES_CODE"",""YEAR"",""LENGTH"",""POSTER"",""YOU_TUBE_ID"",""IMDB_RATING"",""IMDB_VOTES"",""f1"",""f2"",""f4"",""f6"""
"1,""tt0113972"",89,""Nick of Time"",""1000000000000000100"",1995,""90 min"",""MV5BMjE1OTk4OTM2NF5BMl5BanBnXkFtZTYwNzE4OTc4._V1_SX300.jpg"",""PaLHJCnAXi4"",6.3,31726,0.559336693423,0.758131571272,0.802864965362,0.614236553366"
"2,""tt0114825"",93,""Vampire in Brooklyn"",""0000100000100010000"",1995,""100 min"",""MV5BMTI1MTQ3NzE0MV5BMl5BanBnXkFtZTcwNDAwNzIyMQ@@._V1_SX300.jpg"",""dNwt2Demll8"",4.5,16856,0.581979217256,0.642850979509,0.573592285568,0.551198880893"
"3,""tt0115639"",94,""Beautiful Girls"",""0000100100000010000"",1996,""112 min"",""MV5BMTI4NjU0NDM0NV5BMl5BanBnXkFtZTYwODU5MjY5._V1_SX300.jpg"",""yfQ5ONwWxI8"",7.2,26046,0.73483787152,0.637353372323,0.549083945721,0.516987198534"
"4,""tt0115759"",95,""Broken Arrow"",""1100000000000000100"",1996,""108 min"",""MV5BMTY1NTQzMDQwMF5BMl5BanBnXkFtZTYwOTQ1OTk4._V1_SX300.jpg"",""De29KipeZQw"",6,75836,0.623666482445,0.712281324459,0.528164513313,0.569733125237"
"5,""tt0113403"",96,""A Midwinter's Tale"",""0000100100000000000"",1995,""99 min"",""MV5BMTIyMDEwMDAyMl5BMl5BanBnXkFtZTYwOTUwNTk4._V1_SX300.jpg"",""vBS92ui_h74"",7.3,1975,0.77995631711,0.643961841233,0.809576974713,0.502248657092"
"6,""tt0113247"",97,""La Haine"",""0000010100000000000"",1995,""98 min"",""MV5BMTY3OTAyOTMyM15BMl5BanBnXkFtZTcwNTMxMTI0MQ@@._V1_SX300.jpg"",""cy5TaO6qTBU"",8.1,99121,0.680012746539,0.642895315001,0.7790275768,0.462473603205"
"8,""tt0113283"",99,""Heidi Fleiss: Hollywood Madam"",""0000001000000000000"",1995,""106 min"",""MV5BMTc4NDc5NzQzNF5BMl5BanBnXkFtZTcwMDUyODkxMQ@@._V1_SX300.jpg"",""VjNxiufHXJ0"",6.6,555,0.511852025059,0.696192801794,0.64826133385,0.637840498295"
"9,""tt0115907"",100,""City Hall"",""0000000100000000100"",1996,""111 min"",""MV5BMTQxNzEzMzQwN15BMl5BanBnXkFtZTcwOTk5MDYyMQ@@._V1_SX300.jpg"",""Iow4oAxBU9s"",6.2,16464,0.679827287403,0.694472792932,0.618221288471,0.677983913082"
"10,""tt0115734"",101,""Bottle Rocket"",""0100110000000010000"",1996,""91 min"",""MV5BMTI2NDY4Mzc1Nl5BMl5BanBnXkFtZTcwNzUyNDk5MQ@@._V1_SX300.jpg"",""hspUSez-rYY"",7.1,52853,0.725026177048,0.706073236683,0.658863160841,0.757094174717"
"11,""tt0117102"",102,""Mr. Wrong"",""0000100000000000000"",1996,""96 min"",""MV5BMTM0MTAxMjcyMl5BMl5BanBnXkFtZTcwMTIzMTEyMQ@@._V1_SX300.jpg"",""8tpGJ30uFcE"",3.7,4235,0.711713666689,0.669387885554,0.493026025298,0.619710786313"
